AC,DC
134.752,185.9
137.595,197.7
136.634,202.4
134.806,203.2
135.329,203.2
134.946,184.3
128.816,189
129.056,207.9
132.373,206.3
133.436,209.5
131.616,207.1
128.166,204.8
128.356,201.6
130.045,203.2
129.199,203.2
128.248,204.8
128.457,211.8
128.191,209.5
127.745,230
181.028,305.6
207.803,355.2
215.981,442.6
232.258,452
233.569,456
236.02,456.8
235.726,466.2
237.519,462.3
237.183,448.9
234.763,434.7
230.745,432.3
222.705,426
216.034,380.4
158.072,327.6
140.087,296.9
135.503,274.8
135.272,219.7
136.491,200.8
136.421,200
136.666,199.2
136.489,196.1
136.346,210.3
136.668,210.3
136.607,238.6
191.084,306.3
212.212,371.7
220.402,426.8
232.601,447.3
232.943,471.7
234.601,476.4
239.5,465.4
239.906,466.2
241.771,472.5
237.835,457.5
241.795,437.1
230.355,420.5
218.93,374.1
154.698,317.4
140.003,289.8
137.905,264.6
136.042,211.8
132.951,208.7
131.378,189
129.962,187.4
128.129,186.6
126.225,189
125.702,185.9
124.372,208.7
179.188,289.8
201.73,367
221.541,419
245.309,435.5
257.715,456.8
269.499,457.5
272.371,447.3
270.921,457.5
273.675,522.1
265.139,586.7
250.705,529.2
229.848,511.1
221.985,450.5
160.228,336.3
141.099,299.3
137.926,267.8
136.752,216.6
134.665,214.2
129.951,207.9
130.488,211.8
131.879,209.5
130.692,209.5
130.559,212.6
130.275,240.2
183.03,311.9
208.414,373.3
230.606,447.3
250.52,452.8
268.4,463.8
275.392,467
265.033,467.8
264.116,459.9
271.796,447.3
264.973,438.6
239.808,430.8
224.196,414.2
213.106,368.6
151.952,313.4
135.658,304.8
133.471,276.4
130.334,218.1
131.509,219.7
129.754,201.6
129.23,204
129.195,202.4
130.335,214.2
128.145,218.9
129.937,240.2
183.239,307.9
213.496,372.5
227.227,424.5
247.897,452.8
254.886,448.9
260.237,466.2
261.393,450.5
257.099,430
251.566,439.4
237.432,448.1
231.9,407.1
215.491,395.3
204.546,372.5
149.608,314.2
132.855,298.5
132.012,254.4
133.082,218.9
134.128,210.3
129.401,205.5
127.181,210.3
127.657,208.7
128.119,208.7
128.019,210.3
127.263,212.6
176.777,215
188.84,210.3
189.623,215
194.26,215.8
198.177,214.2
199.983,213.4
207.286,213.4
212.374,216.6
210.261,215
208.4,214.2
204.003,215
204.478,212.6
200.179,236.3
148.946,237.8
135.224,237.8
135.76,241
136.763,230
134.487,217.4
136.754,218.9
136.062,221.3
133.886,222.1
134.021,222.1
133.482,217.4
132.825,224.4
132.685,231.5
130.924,212.6
133.799,212.6
136.217,207.9
141.678,202.4
148.062,198.5
153.597,197.7
156.706,209.5
154.207,211.8
147.087,197.7
139.99,187.4
135.073,200
135.989,226
134.611,217.4
132.544,213.4
128.274,212.6
130.213,207.1
130.414,207.1
129.084,208.7
127.159,209.5
130.017,210.3
128.352,213.4
129.172,215.8
125.647,260.7
180.02,318.9
213.36,396.1
229.167,456
240.82,476.4
248.332,498.5
251.06,484.3
258.306,478
261.476,474.1
266.615,473.3
256.346,436.3
247.776,416.6
232.491,402.4
224.33,378.8
160.276,321.3
142.928,307.1
139.022,278.8
134.811,216.6
136.179,206.3
135.824,200
135.06,203.2
136.519,198.5
134.488,211.8
133.489,215
134.622,241
187.751,303.2
217.652,378
230.847,434.7
245.623,480.4
252.337,498.5
255.36,482
259.196,479.6
251.63,491.4
252.239,478.8
248.323,466.2
242.24,450.5
231.614,441.8
225.796,404
165.97,349.7
145.596,330
140.847,301.6
139.633,239.4
137.61,226.8
135.646,227.6
132.008,237
136.542,233.9
134.053,236.3
134.542,233.1
133.065,262.2
187.503,334.7
217.937,411.1
227.984,465.4
247.762,469.4
254.426,482
264.611,504.8
261.9,483.5
267.406,469.4
271.897,467
269.323,457.5
254.404,448.9
229.959,444.9
220.551,402.4
162.949,348.9
143.176,330
140.517,296.1
138.839,237
136.648,225.2
134.212,217.4
137.854,222.1
136.33,229.2
135.592,229.2
135.309,229.2
134.986,259.1
189.754,322.9
212.286,407.9
226.115,472.5
245.594,506.4
256.928,504.8
258.914,490.6
255.903,500.1
259.483,490.6
255.842,474.1
253.147,463.8
240.55,459.1
223.892,441
217.869,399.3
154.823,336.3
138.117,323.7
136.238,295.3
133.402,229.2
132.388,218.1
131.229,220.5
129.252,221.3
128.043,222.1
126.494,222.9
125.375,238.6
127.607,273.3
182.705,344.9
210.18,405.6
223.32,439.4
235.599,460.7
252.252,466.2
254.139,466.2
258.659,421.3
251.207,422.1
255.796,423.7
245.387,411.9
233.503,407.1
218.635,388.2
209.527,359.9
159.611,313.4
139.959,309.5
137.146,264.6
132.712,220.5
134.465,205.5
134.641,204
134.738,206.3
135.811,204
135.369,205.5
135.526,207.9
132.124,210.3
182.833,227.6
194.417,226.8
194.049,244.1
193.445,254.4
199.62,255.9
202.434,255.9
208.602,252.8
216.781,255.9
210.355,219.7
211.028,216.6
207.558,214.2
202.61,212.6
200.88,235.5
149.306,238.6
135.333,237.8
134.848,233.9
134.381,222.1
136.77,206.3
133.848,208.7
132.76,211.8
132.599,211.1
132.48,220.5
130.199,218.1
128.074,200
128.211,200
125.937,200
129.798,197.7
132.155,198.5
140.406,207.1
144.766,211.8
152.193,212.6
142.858,214.2
145.687,196.9
144.95,197.7
140.364,193.7
137.993,217.4
132.894,226
133.299,220.5
134.432,218.9
134.57,217.4
133.102,218.9
133.067,218.1
134.829,222.9
132.278,221.3
129.863,226.8
129.292,265.4
130.12,333.9
128.922,417.4
181.149,432.3
214.666,478.8
229.879,487.5
249.822,487.5
270.971,494.6
273.663,460.7
278.059,444.2
268.325,437.1
269.579,433.1
262.367,413.4
252.228,353.6
239.022,320.5
230.319,303.2
157.481,274.8
143.774,216.6
139.216,207.9
135.969,204
136.876,206.3
136.294,204.8
133.7,212.6
138.0886667,225.2
142.4773333,251.2
146.866,297.7
203.523,321.3
201.953,344.1
205.583,359.1
228.094,353.6
252.207,357.5
264.039,353.6
268.482,343.4
267.061,340.2
256.22,333.9
259.096,327.6
255.054,331.5
247.616,296.1
232.255,274.8
217.305,274.8
202.355,272.5
187.405,229.2
219.43,211.1
212.69,209.5
215.347,211.1
212.105,211.1
211.036,208.7
205.952,211.1
209.634,240.2
204.55,297.7
203.92,387.5
205.307,423.7
211.226,451.2
226.868,445.7
245.998,448.1
258.239,442.6
258.908,441
267.221,435.5
270.94,428.4
269.787,412.7
265.663,403.2
247.942,357.5
224.863,339.4
214.58,335.5
154.96,292.2
139.913,226.8
135.52,212.6
133.313,211.1
130.922,211.1
150.31125,213.4
169.7005,211.8
189.08975,210.3
208.479,243.3
200.255,314.2
199.492,395.3
202.149,430
212.083,458.3
170.68,464.6
129.277,457.5
87.874,444.9
258.757,432.3
262.155,437.1
261.028,422.9
267.125,411.1
262.174,400.8
229.272,344.9
196.37,315.8
163.468,301.6
166.461,276.4
150.751,220.5
149.509,204.8
145.28,207.1
144.178,201.6
141.105,207.1
138.98,215.8
138.572,226
135.773,248.1
135.102,315.8
134.118,393.8
189.8,422.9
214.669,437.1
215.1583333,444.2
215.6476667,442.6
216.137,433.9
271.318,421.3
273.757,427.6
271.993,421.3
274.12,402.4
264.683,389.8
236.648,327.6
220.4,313.4
206.098,306.3
151.159,274.8
131.959,222.1
128.156,215
127.707,215
127.879,215
134.0873333,220.5
140.2956667,218.1
146.504,217.4
206.699,225.2
204.135,226.8
206.769,217.4
201.549,221.3
200.942,224.4
205.785,222.9
212.977,226.8
215.86,222.1
223.616,228.4
222.192,224.4
224.109,227.6
